               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.069138,            0.031054,            0.019881,             0.16586,             0.33268,             0.40806,             0.25142,             0.08161,             0.06513,            0.026011,            0.018436,             0.16213,           0.0057488,           0.0057488,           0.0057488
                  54,            0.068646,            0.030481,            0.019475,              0.1652,             0.41283,             0.36992,             0.32159,            0.097341,            0.060893,            0.025263,            0.018391,             0.16114,           0.0056236,           0.0056236,           0.0056236
                  55,            0.068971,            0.030857,             0.01969,             0.16415,             0.45431,             0.41532,             0.32114,               0.115,            0.060355,            0.025333,            0.017636,             0.16061,           0.0054987,           0.0054987,           0.0054987
                  56,            0.067565,            0.030443,            0.018804,             0.16452,             0.54251,             0.36518,             0.36545,             0.11584,            0.060724,            0.025246,             0.01801,             0.16006,           0.0053743,           0.0053743,           0.0053743
                  57,            0.068309,            0.028999,            0.018287,             0.16336,             0.40402,             0.38699,             0.32825,            0.090242,            0.059803,            0.025282,            0.018308,             0.15887,           0.0052505,           0.0052505,           0.0052505
                  58,            0.066796,             0.02954,            0.017269,             0.16229,             0.54494,             0.39294,             0.38382,             0.12847,            0.058464,            0.025097,            0.017774,             0.15845,           0.0051274,           0.0051274,           0.0051274
                  59,            0.067512,            0.030171,             0.01784,             0.16139,             0.54206,             0.39758,             0.38976,             0.12206,            0.057815,            0.025776,            0.017876,             0.15722,           0.0050052,           0.0050052,           0.0050052
                  60,            0.066952,            0.029895,             0.01873,             0.16178,              0.4133,             0.32491,             0.29469,             0.11232,            0.059689,            0.025223,            0.017998,             0.15725,            0.004884,            0.004884,            0.004884
                  61,            0.067476,            0.030203,             0.01694,             0.16025,             0.58619,             0.42813,             0.39073,             0.13847,            0.057919,            0.024987,             0.01722,             0.15552,           0.0047639,           0.0047639,           0.0047639
                  62,            0.066034,            0.030923,            0.017956,             0.16077,              0.5815,             0.42401,             0.42563,             0.16546,            0.057638,             0.02528,            0.017252,             0.15469,            0.004645,            0.004645,            0.004645
                  63,            0.066977,            0.030326,            0.017554,             0.15887,             0.59874,             0.42658,             0.42867,             0.16569,            0.059886,             0.02468,            0.017233,             0.15414,           0.0045275,           0.0045275,           0.0045275
                  64,            0.066152,            0.029669,            0.017194,             0.15924,             0.59602,             0.42352,             0.42508,              0.1788,            0.055499,            0.024902,            0.016938,             0.15368,           0.0044114,           0.0044114,           0.0044114
                  65,            0.064185,            0.029825,              0.0172,             0.15782,              0.4549,             0.45877,             0.37428,             0.14131,            0.059381,            0.024403,            0.016891,             0.15305,           0.0042969,           0.0042969,           0.0042969
                  66,            0.064941,            0.029474,            0.016667,             0.15777,             0.44732,              0.4435,             0.34271,             0.11233,              0.0596,            0.024054,            0.016522,             0.15151,            0.004184,            0.004184,            0.004184
                  67,            0.064676,            0.029768,            0.017453,              0.1579,             0.66624,             0.41265,             0.44284,             0.17007,            0.055025,            0.024148,            0.016785,              0.1509,            0.004073,            0.004073,            0.004073
                  68,            0.063032,            0.029776,            0.016646,             0.15709,             0.62587,             0.42963,             0.43964,             0.16717,            0.056463,            0.024313,            0.015788,             0.15013,           0.0039638,           0.0039638,           0.0039638
                  69,            0.063997,            0.030397,            0.016954,             0.15493,              0.4385,             0.41159,             0.35766,             0.10951,            0.062007,             0.02432,            0.017037,             0.15047,           0.0038567,           0.0038567,           0.0038567
                  70,            0.066195,             0.02808,            0.016428,             0.15461,             0.66467,             0.41965,             0.44516,             0.15487,             0.05716,            0.024062,            0.016323,             0.14954,           0.0037517,           0.0037517,           0.0037517
                  71,            0.063803,            0.029528,            0.017547,             0.15457,             0.67511,             0.40911,             0.42374,             0.15387,            0.057993,            0.023532,            0.016331,             0.14858,           0.0036489,           0.0036489,           0.0036489
                  72,            0.063602,            0.030687,            0.016838,             0.15473,             0.54551,             0.36026,             0.32917,            0.091563,            0.059085,            0.024048,            0.016234,             0.14748,           0.0035484,           0.0035484,           0.0035484
                  73,            0.064279,            0.029668,            0.016403,             0.15328,             0.67324,             0.40552,              0.4194,             0.15881,            0.054879,            0.024344,            0.016399,             0.14662,           0.0034503,           0.0034503,           0.0034503
                  74,            0.062887,            0.029681,            0.017365,             0.15271,             0.65086,             0.47223,             0.48838,             0.18624,            0.053292,            0.024323,            0.015394,             0.14555,           0.0033548,           0.0033548,           0.0033548
                  75,            0.062615,            0.030063,            0.016641,             0.15259,              0.5825,             0.48535,             0.44842,             0.16501,            0.055276,            0.024782,            0.015591,             0.14572,           0.0032618,           0.0032618,           0.0032618
                  76,            0.063656,            0.030341,            0.016724,             0.15175,             0.72984,             0.42346,             0.47346,             0.16431,            0.055089,            0.024495,            0.016174,             0.14535,           0.0031716,           0.0031716,           0.0031716
                  77,            0.063289,            0.029721,            0.016762,             0.15146,              0.6397,             0.42414,             0.46091,             0.18546,            0.055622,            0.023917,             0.01656,              0.1444,           0.0030841,           0.0030841,           0.0030841
                  78,            0.062008,            0.029947,              0.0164,             0.15179,             0.70049,              0.4026,             0.45395,              0.1788,            0.052928,            0.023959,            0.016109,             0.14425,           0.0029996,           0.0029996,           0.0029996
                  79,            0.061692,             0.03023,            0.017314,             0.15121,             0.69635,             0.40785,             0.44572,              0.1739,            0.053318,            0.023812,            0.015324,             0.14313,           0.0029179,           0.0029179,           0.0029179
                  80,            0.062187,            0.029286,            0.016138,             0.14964,             0.57024,              0.4904,             0.48027,             0.16842,            0.052225,            0.024158,            0.015333,             0.14196,           0.0028394,           0.0028394,           0.0028394
                  81,            0.060762,            0.029238,            0.016409,              0.1482,             0.62647,             0.50507,             0.51952,             0.19283,            0.053894,            0.023972,            0.015391,             0.14048,           0.0027639,           0.0027639,           0.0027639
                  82,            0.061844,            0.029783,            0.016156,             0.14847,             0.74561,             0.45244,             0.47996,             0.17538,            0.052041,            0.023918,             0.01618,             0.14018,           0.0026917,           0.0026917,           0.0026917
                  83,            0.060865,            0.030552,            0.016123,             0.14816,             0.64556,             0.46369,             0.43837,             0.15537,            0.053882,            0.023589,            0.015385,             0.13977,           0.0026227,           0.0026227,           0.0026227
                  84,            0.060846,            0.029369,            0.016133,              0.1474,             0.65349,             0.47733,             0.52676,             0.21434,            0.051342,             0.02372,            0.016289,             0.13902,            0.002557,            0.002557,            0.002557
                  85,            0.060658,            0.029165,            0.016308,             0.14615,             0.64842,              0.4765,              0.5069,             0.18771,            0.052305,            0.023598,            0.016184,              0.1385,           0.0024948,           0.0024948,           0.0024948
                  86,            0.061018,            0.029527,            0.016462,             0.14733,             0.74264,             0.43635,             0.50267,             0.19019,            0.053553,            0.023463,            0.016078,             0.13883,            0.002436,            0.002436,            0.002436
                  87,            0.060342,            0.028444,            0.014858,             0.14479,             0.62245,             0.45184,             0.46875,              0.1896,            0.050754,            0.023814,            0.016017,             0.13826,           0.0023807,           0.0023807,           0.0023807
